t_formated,v_gen_avail_interp,v_load_shed_interp,,v_gen_avail_interp_shift_30min
2/15/2021 16:50,47298.43175,13958.55208,,47651.62176
2/15/2021 17:00,47302.79616,13957.61707,,47510.40807
2/15/2021 17:10,47124.48654,13982.55568,,47358.12794
2/15/2021 17:20,46781.58326,14998.48529,,47298.43175
2/15/2021 17:30,46438.67999,16915.62752,,47302.79616
2/15/2021 17:40,46211.11697,17964.91229,,47124.48654
2/15/2021 17:50,46085.80152,17964.60074,,46781.58326
2/15/2021 18:00,45929.9365,17949.0144,,46438.67999
2/15/2021 18:10,46007.86928,17964.6011,,46211.11697
2/15/2021 18:20,46070.52728,17980.1878,,46085.80152
2/15/2021 18:30,45929.93704,18505.45373,,45929.9365
2/15/2021 18:40,45914.3507,18957.46302,,46007.86928
2/15/2021 18:50,45990.41311,19378.92272,,46070.52728
2/15/2021 19:00,45978.56753,19859.6112,,45929.93704
2/15/2021 19:10,45977.63252,19976.51029,,45914.3507
2/15/2021 19:20,45810.03864,19968.75618,,45990.41311
2/15/2021 19:30,45847.6413,19968.09393,,45978.56753
2/15/2021 19:40,45982.30902,19968.09412,,45977.63252
2/15/2021 19:50,46438.05907,19968.0943,,45810.03864
2/15/2021 20:00,46444.29386,19968.09448,,45847.6413
2/15/2021 20:10,46482.40309,19968.09466,,45982.30902
2/15/2021 20:20,46758.83022,19968.09484,,46438.05907
2/15/2021 20:30,46914.6956,19954.06716,,46444.29386
2/15/2021 20:40,47000.10992,19472.13212,,46482.40309
2/15/2021 20:50,46984.21185,19114.26578,,46758.83022
2/15/2021 21:00,46979.22435,18964.51846,,46914.6956
2/15/2021 21:10,46828.34701,18964.32381,,47000.10992
2/15/2021 21:20,46630.08664,18966.50611,,46984.21185
2/15/2021 21:30,46204.88654,18966.50629,,46979.22435
2/15/2021 21:40,45916.22436,18966.50647,,46828.34701
2/15/2021 21:50,45813.3535,18966.50665,,46630.08664
2/15/2021 22:00,45881.31091,18966.50684,,46204.88654
2/15/2021 22:10,45962.04927,18966.50702,,45916.22436
2/15/2021 22:20,45952.69754,18966.5072,,45813.3535
2/15/2021 22:30,45921.52468,18966.50738,,45881.31091
2/15/2021 22:40,46027.31837,18966.50756,,45962.04927
2/15/2021 22:50,45969.84326,18966.50774,,45952.69754
2/15/2021 23:00,45836.42282,18966.50793,,45921.52468
2/15/2021 23:10,45838.29339,18966.50811,,46027.31837
2/15/2021 23:20,45861.98508,18966.50829,,45969.84326
2/15/2021 23:30,45914.04424,18966.50847,,45836.42282
2/15/2021 23:40,45918.09692,18966.50865,,45838.29339
2/15/2021 23:50,45971.71473,18816.5665,,45861.98508
2/16/2021 0:00,46072.09211,18636.38651,,45914.04424
2/16/2021 0:10,46377.5881,18443.11383,,45918.09692
2/16/2021 0:20,46558.58675,18299.44526,,45971.71473
2/16/2021 0:30,46581.77188,18222.09733,,46072.09211
2/16/2021 0:40,46527.21924,18039.73522,,46377.5881
2/16/2021 0:50,46502.28099,17964.9201,,46558.58675
2/16/2021 1:00,46594.86511,17964.92028,,46581.77188
2/16/2021 1:10,46772.55162,17964.92046,,46527.21924
2/16/2021 1:20,46857.34248,17964.92065,,46502.28099
2/16/2021 1:30,46981.09964,17964.92083,,46594.86511
2/16/2021 1:40,47102.67468,17964.92101,,46772.55162
2/16/2021 1:50,47186.53034,17964.92119,,46857.34248
2/16/2021 2:00,47177.95794,17756.25683,,46981.09964
2/16/2021 2:10,47124.18462,17481.42768,,47102.67468
2/16/2021 2:20,47183.72531,17392.58469,,47186.53034
2/16/2021 2:30,47392.58487,17401.93679,,47177.95794
2/16/2021 2:40,47711.797,17345.20203,,47124.18462
2/16/2021 2:50,47888.08073,17167.36001,,47183.72531
2/16/2021 3:00,48013.55241,17009.15701,,47392.58487
2/16/2021 3:10,48128.26938,16963.33282,,47711.797
2/16/2021 3:20,48120.78803,16963.333,,47888.08073
2/16/2021 3:30,47932.19131,16963.33318,,48013.55241
2/16/2021 3:40,47600.58827,16963.33336,,48128.26938
2/16/2021 3:50,47396.63882,16963.33355,,48120.78803
2/16/2021 4:00,47251.37263,16963.33373,,47932.19131
2/16/2021 4:10,47105.48298,16963.33391,,47600.58827
2/16/2021 4:20,47066.51686,16963.33409,,47396.63882
2/16/2021 4:30,47098.46941,16963.33427,,47251.37263
2/16/2021 4:40,47081.79201,16963.33445,,47105.48298
2/16/2021 4:50,47050.61915,16963.33464,,47066.51686
2/16/2021 5:00,47073.68739,16963.33482,,47098.46941
2/16/2021 5:10,47104.86061,17235.78738,,47081.79201
2/16/2021 5:20,47260.76496,17880.79676,,47050.61915
2/16/2021 5:30,47491.71842,18318.42748,,47073.68739
2/16/2021 5:40,47718.03488,18394.17815,,47104.86061
2/16/2021 5:50,47942.48096,18394.17833,,47260.76496
2/16/2021 6:00,48081.82464,18394.17852,,47491.71842
2/16/2021 6:10,48117.28416,18394.1787,,47718.03488
2/16/2021 6:20,48003.58067,18394.17888,,47942.48096
2/16/2021 6:30,47979.88934,18394.17906,,48081.82464
2/16/2021 6:40,47901.95692,18400.41385,,48117.28416
2/16/2021 6:50,47906.94478,18404.1548,,48003.58067
2/16/2021 7:00,48163.65496,18495.53096,,47979.88934
2/16/2021 7:10,48541.62827,18782.90762,,47901.95692
2/16/2021 7:20,48684.40099,18966.51701,,47906.94478
2/16/2021 7:30,48563.44977,18966.51719,,48163.65496
2/16/2021 7:40,48256.39549,18966.51738,,48541.62827
2/16/2021 7:50,47911.93356,19030.11056,,48684.40099
2/16/2021 8:00,47688.11131,19196.57479,,48563.44977
2/16/2021 8:10,47689.35841,19310.98003,,48256.39549
2/16/2021 8:20,47843.97688,19395.77089,,47911.93356
2/16/2021 8:30,48020.10474,19395.77107,,47688.11131
2/16/2021 8:40,48108.67533,19395.77125,,47689.35841
2/16/2021 8:50,48152.59053,19395.77143,,47843.97688
2/16/2021 9:00,48076.21676,19395.77161,,48020.10474
2/16/2021 9:10,48093.67385,19395.77179,,48108.67533
2/16/2021 9:20,48127.65265,19395.77198,,48152.59053
2/16/2021 9:30,48092.11556,19395.77216,,48076.21676
2/16/2021 9:40,48013.55968,19395.77234,,48093.67385
2/16/2021 9:50,47834.31487,19395.77252,,48127.65265
2/16/2021 10:00,47939.67993,19399.51347,,48092.11556
2/16/2021 10:10,48053.77345,19360.23562,,48013.55968
2/16/2021 10:20,48223.27704,19130.13979,,47834.31487
2/16/2021 10:30,48310.01621,18966.52047,,47939.67993
2/16/2021 10:40,48370.49209,18918.51416,,48053.77345
2/16/2021 10:50,48445.30757,18715.88957,,48223.27704
2/16/2021 11:00,48340.87807,18561.5832,,48310.01621
2/16/2021 11:10,48110.66534,18298.79464,,48370.49209
2/16/2021 11:20,48247.04758,17801.58481,,48445.30757
2/16/2021 11:30,48392.31413,17389.78911,,48340.87807
2/16/2021 11:40,48235.20218,17361.73356,,48110.66534
2/16/2021 11:50,48254.84138,17266.0325,,48247.04758
2/16/2021 12:00,48376.29953,17144.18506,,48392.31413
2/16/2021 12:10,48312.51187,16963.34263,,48235.20218
2/16/2021 12:20,48009.51009,16963.34281,,48254.84138
2/16/2021 12:30,47730.19982,16963.343,,48376.29953
2/16/2021 12:40,47254.81112,16963.34318,,48312.51187
2/16/2021 12:50,47029.58607,16963.34336,,48009.51009
2/16/2021 13:00,47278.50299,16965.21392,,47730.19982
2/16/2021 13:10,47714.92575,16952.74489,,47254.81112
2/16/2021 13:20,48682.53715,16679.04577,,47029.58607
2/16/2021 13:30,49294.77586,16320.8677,,47278.50299
2/16/2021 13:40,49716.39143,16205.52763,,47714.92575
2/16/2021 13:50,49792.29797,15923.10005,,48682.53715
2/16/2021 14:00,49969.0493,15438.9829,,49294.77586
2/16/2021 14:10,49967.80256,14960.16516,,49716.39143
2/16/2021 14:20,49565.04704,14960.16534,,49792.29797
2/16/2021 14:30,49284.48985,14960.16553,,49969.0493
2/16/2021 14:40,48926.62352,14960.16571,,49967.80256
2/16/2021 14:50,48724.62239,14960.16589,,49565.04704
2/16/2021 15:00,48553.17084,14960.16607,,49284.48985
2/16/2021 15:10,48646.69015,14960.16625,,48926.62352
2/16/2021 15:20,48709.65987,14960.16644,,48724.62239
2/16/2021 15:30,48728.05215,14960.16662,,48553.17084
2/16/2021 15:40,48572.18712,14960.1668,,48646.69015
2/16/2021 15:50,48171.92545,14960.16698,,48709.65987
2/16/2021 16:00,48245.49401,14960.16716,,48728.05215
2/16/2021 16:10,48148.54603,14960.16734,,48572.18712
2/16/2021 16:20,48078.87447,14960.16753,,48171.92545
2/16/2021 16:30,48076.22494,14960.16771,,48245.49401
2/16/2021 16:40,48076.22512,14960.16789,,48148.54603
2/16/2021 16:50,48233.96089,14960.16807,,48078.87447
2/16/2021 17:00,48335.27346,14960.16825,,48076.22494
2/16/2021 17:10,48244.48216,14960.16843,,48076.22512
2/16/2021 17:20,48149.17077,14960.16862,,48233.96089
2/16/2021 17:30,47873.28953,15310.86552,,48335.27346
2/16/2021 17:40,47590.86196,15481.0705,,48244.48216
2/16/2021 17:50,47390.73121,15889.43753,,48149.17077
2/16/2021 18:00,47360.80527,16351.26632,,47873.28953
2/16/2021 18:10,47360.80545,16448.0588,,47590.86196
2/16/2021 18:20,47427.82768,16883.54637,,47390.73121
2/16/2021 18:30,47531.94582,16963.34954,,47360.80527
2/16/2021 18:40,47794.42301,16963.34972,,47360.80545
2/16/2021 18:50,47813.90634,16963.3499,,47427.82768
2/16/2021 19:00,47976.1622,16963.35008,,47531.94582
2/16/2021 19:10,48114.88242,16963.35027,,47794.42301
2/16/2021 19:20,48202.16712,16963.35045,,47813.90634
2/16/2021 19:30,48267.94242,16963.35063,,47976.1622
2/16/2021 19:40,48245.14731,16963.35081,,48114.88242
2/16/2021 19:50,48110.51892,16963.35099,,48202.16712
2/16/2021 20:00,47845.23652,16963.35117,,48267.94242
2/16/2021 20:10,47537.24705,16963.35136,,48245.14731
2/16/2021 20:20,47444.6633,16963.35154,,48110.51892
2/16/2021 20:30,47380.68081,16963.35172,,47845.23652
2/16/2021 20:40,47372.65394,16963.3519,,47537.24705
2/16/2021 20:50,47411.30869,16963.35208,,47444.6633
2/16/2021 21:00,47312.1786,16963.35226,,47380.68081
2/16/2021 21:10,47330.88261,16963.35245,,47372.65394
2/16/2021 21:20,47619.81792,16963.35263,,47411.30869
2/16/2021 21:30,47569.35674,16963.35281,,47312.1786
2/16/2021 21:40,47209.30829,16963.35299,,47330.88261
2/16/2021 21:50,47212.42578,16963.35317,,47619.81792
2/16/2021 22:00,47281.31838,16963.35335,,47569.35674
2/16/2021 22:10,46963.35354,16867.96403,,47209.30829
2/16/2021 22:20,47005.74905,16629.49044,,47212.42578
2/16/2021 22:30,47281.31892,16534.10112,,47281.31838
2/16/2021 22:40,47187.17652,16534.1013,,46963.35354
2/16/2021 22:50,46949.01466,16534.10148,,47005.74905
2/16/2021 23:00,46997.13823,16534.10166,,47281.31892
2/16/2021 23:10,47244.22373,16384.47125,,47187.17652
2/16/2021 23:20,47518.85841,16237.6464,,46949.01466
2/16/2021 23:30,47593.67389,16059.96025,,46997.13823
2/16/2021 23:40,47296.28326,15961.76535,,47244.22373
2/16/2021 23:50,46803.04799,15869.02573,,47518.85841
2/17/2021 0:00,46578.99193,15709.26407,,47593.67389
2/17/2021 0:10,46556.85926,15580.51959,,47296.28326
2/17/2021 0:20,46488.90221,15366.67271,,46803.04799
2/17/2021 0:30,46396.63019,15205.19654,,46578.99193
2/17/2021 0:40,46453.9498,15070.80194,,46556.85926
2/17/2021 0:50,46743.5865,14967.34659,,46488.90221
2/17/2021 1:00,46924.07859,14960.17698,,46396.63019
2/17/2021 1:10,46899.14034,14741.34241,,46453.9498
2/17/2021 1:20,46992.65965,14460.78521,,46743.5865
2/17/2021 1:30,47138.23793,14173.21409,,46924.07859
2/17/2021 1:40,47146.03138,13966.69287,,46899.14034
2/17/2021 1:50,47091.47874,13966.69305,,46992.65965
2/17/2021 2:00,47020.40438,13958.58824,,47138.23793
2/17/2021 2:10,47031.0034,13958.58842,,47146.03138
2/17/2021 2:20,47103.79263,13863.86152,,47091.47874
2/17/2021 2:30,47108.3129,13647.1701,,47020.40438
2/17/2021 2:40,47031.6274,13529.33619,,47031.0034
2/17/2021 2:50,46938.10846,13529.33637,,47103.79263
2/17/2021 3:00,46890.41389,13529.33655,,47108.3129
2/17/2021 3:10,46860.02036,13529.33673,,47031.6274
2/17/2021 3:20,46770.08631,13529.33691,,46938.10846
2/17/2021 3:30,46692.15389,13529.33709,,46890.41389
2/17/2021 3:40,46651.62912,13529.33728,,46860.02036
2/17/2021 3:50,46684.98445,13529.33746,,46770.08631
2/17/2021 4:00,46563.91634,13529.33764,,46692.15389
2/17/2021 4:10,46239.52205,13529.33782,,46651.62912
2/17/2021 4:20,45992.63175,13529.338,,46684.98445
2/17/2021 4:30,45667.18537,13529.33818,,46563.91634
2/17/2021 4:40,45537.81743,13529.33837,,46239.52205
2/17/2021 4:50,45421.23044,13529.33855,,45992.63175
2/17/2021 5:00,45221.0997,13529.33873,,45667.18537
2/17/2021 5:10,45092.66695,13529.33891,,45537.81743
2/17/2021 5:20,45093.29059,13529.33909,,45421.23044
2/17/2021 5:30,45052.76582,13529.33928,,45221.0997
2/17/2021 5:40,45026.42478,13529.33946,,45092.66695
2/17/2021 5:50,45031.56851,13529.33964,,45093.29059
2/17/2021 6:00,44902.20057,13529.33982,,45052.76582
2/17/2021 6:10,44801.2001,13529.34,,45026.42478
2/17/2021 6:20,44833.62024,13529.34018,,45031.56851
2/17/2021 6:30,44948.25928,13529.34037,,44902.20057
2/17/2021 6:40,45038.42749,13529.34055,,44801.2001
2/17/2021 6:50,45102.95587,13529.34073,,44833.62024
2/17/2021 7:00,45107.94374,13529.34091,,44948.25928
2/17/2021 7:10,45309.01003,13529.34109,,45038.42749
2/17/2021 7:20,45421.23317,13529.34127,,45102.95587
2/17/2021 7:30,45413.75182,13563.00834,,45107.94374
2/17/2021 7:40,45386.00799,13710.14528,,45309.01003
2/17/2021 7:50,45439.00235,13869.12797,,45421.23317
2/17/2021 8:00,45729.847,13958.59478,,45413.75182
