INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2020-06-26T04:00:00-00:00,2020-06-26T05:00:00-00:00,LOAD,2020-06-25,22,0,DAM,TAC_ECNTR,Load,TOT_LOAD_MW,8,13525.73,3
2020-06-25T22:00:00-00:00,2020-06-25T23:00:00-00:00,LOAD,2020-06-25,16,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,107.09,4
2020-06-25T10:00:00-00:00,2020-06-25T11:00:00-00:00,LOAD,2020-06-25,4,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,51.04,4
2020-06-26T02:00:00-00:00,2020-06-26T03:00:00-00:00,LOAD,2020-06-25,20,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,98.64,4
2020-06-26T01:00:00-00:00,2020-06-26T02:00:00-00:00,LOAD,2020-06-25,19,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,107.91,4
2020-06-25T14:00:00-00:00,2020-06-25T15:00:00-00:00,LOAD,2020-06-25,8,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,58.81,4
2020-06-25T12:00:00-00:00,2020-06-25T13:00:00-00:00,LOAD,2020-06-25,6,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,52.24,4
2020-06-25T09:00:00-00:00,2020-06-25T10:00:00-00:00,LOAD,2020-06-25,3,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,52.82,4
2020-06-26T04:00:00-00:00,2020-06-26T05:00:00-00:00,LOAD,2020-06-25,22,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,78.49,4
2020-06-26T00:00:00-00:00,2020-06-26T01:00:00-00:00,LOAD,2020-06-25,18,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,110.25,4
2020-06-25T21:00:00-00:00,2020-06-25T22:00:00-00:00,LOAD,2020-06-25,15,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,103.88,4
2020-06-26T03:00:00-00:00,2020-06-26T04:00:00-00:00,LOAD,2020-06-25,21,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,87.71,4
2020-06-25T20:00:00-00:00,2020-06-25T21:00:00-00:00,LOAD,2020-06-25,14,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,99.04,4
2020-06-25T11:00:00-00:00,2020-06-25T12:00:00-00:00,LOAD,2020-06-25,5,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,50.96,4
2020-06-25T07:00:00-00:00,2020-06-25T08:00:00-00:00,LOAD,2020-06-25,1,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,59.41,4
2020-06-25T18:00:00-00:00,2020-06-25T19:00:00-00:00,LOAD,2020-06-25,12,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,87.66,4
2020-06-25T08:00:00-00:00,2020-06-25T09:00:00-00:00,LOAD,2020-06-25,2,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,55.76,4
2020-06-26T06:00:00-00:00,2020-06-26T07:00:00-00:00,LOAD,2020-06-25,24,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,62,4
2020-06-26T05:00:00-00:00,2020-06-26T06:00:00-00:00,LOAD,2020-06-25,23,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,69.86,4
2020-06-25T23:00:00-00:00,2020-06-26T00:00:00-00:00,LOAD,2020-06-25,17,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,110.53,4
2020-06-25T16:00:00-00:00,2020-06-25T17:00:00-00:00,LOAD,2020-06-25,10,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,72.17,4
2020-06-25T15:00:00-00:00,2020-06-25T16:00:00-00:00,LOAD,2020-06-25,9,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,63.99,4
2020-06-25T17:00:00-00:00,2020-06-25T18:00:00-00:00,LOAD,2020-06-25,11,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,80.27,4
2020-06-25T13:00:00-00:00,2020-06-25T14:00:00-00:00,LOAD,2020-06-25,7,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,55.11,4
2020-06-25T19:00:00-00:00,2020-06-25T20:00:00-00:00,LOAD,2020-06-25,13,0,DAM,TAC_NCNTR,Load,TOT_LOAD_MW,8,94.12,4
