Time Stamp,Time Zone,Fuel Category,Gen MWh
07/19/2017 02:35:00,EDT,Nuclear,5277.0
07/19/2017 02:35:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:35:00,EDT,Other Renewables,283.0
07/19/2017 02:35:00,EDT,Wind,275.0
07/19/2017 02:35:00,EDT,Hydro,2818.0
07/19/2017 02:40:00,EDT,Dual Fuel,3251.0
07/19/2017 02:40:00,EDT,Natural Gas,3024.0
07/19/2017 02:40:00,EDT,Nuclear,5276.0
07/19/2017 02:40:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:40:00,EDT,Other Renewables,284.0
07/19/2017 02:40:00,EDT,Wind,275.0
07/19/2017 02:40:00,EDT,Hydro,2801.0
07/19/2017 02:45:00,EDT,Dual Fuel,3216.0
07/19/2017 02:45:00,EDT,Natural Gas,3006.0
07/19/2017 02:45:00,EDT,Nuclear,5276.0
07/19/2017 02:45:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:45:00,EDT,Other Renewables,284.0
07/19/2017 02:45:00,EDT,Wind,270.0
07/19/2017 02:45:00,EDT,Hydro,2816.0
07/19/2017 02:50:00,EDT,Dual Fuel,3316.0
07/19/2017 02:50:00,EDT,Natural Gas,3005.0
07/19/2017 02:50:00,EDT,Nuclear,5278.0
07/19/2017 02:50:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:50:00,EDT,Other Renewables,288.0
07/19/2017 02:50:00,EDT,Wind,274.0
07/19/2017 02:50:00,EDT,Hydro,2872.0
07/19/2017 02:55:00,EDT,Dual Fuel,3305.0
07/19/2017 02:55:00,EDT,Natural Gas,2986.0
07/19/2017 02:55:00,EDT,Nuclear,5282.0
07/19/2017 02:55:00,EDT,Other Fossil Fuels,0.0
07/19/2017 02:55:00,EDT,Other Renewables,286.0
07/19/2017 02:55:00,EDT,Wind,276.0
07/19/2017 02:55:00,EDT,Hydro,2823.0
07/19/2017 03:00:00,EDT,Dual Fuel,3280.0
07/19/2017 03:00:00,EDT,Natural Gas,2986.0
07/19/2017 03:00:00,EDT,Nuclear,5279.0
07/19/2017 03:00:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:00:00,EDT,Other Renewables,288.0
07/19/2017 03:00:00,EDT,Wind,271.0
07/19/2017 03:00:00,EDT,Hydro,2817.0
07/19/2017 03:05:00,EDT,Dual Fuel,3304.0
07/19/2017 03:05:00,EDT,Natural Gas,2983.0
07/19/2017 03:05:00,EDT,Nuclear,5277.0
07/19/2017 03:05:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:05:00,EDT,Other Renewables,292.0
07/19/2017 03:05:00,EDT,Wind,264.0
07/19/2017 03:05:00,EDT,Hydro,2805.0
07/19/2017 03:10:00,EDT,Dual Fuel,3270.0
07/19/2017 03:10:00,EDT,Natural Gas,2984.0
07/19/2017 03:10:00,EDT,Nuclear,5279.0
07/19/2017 03:10:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:10:00,EDT,Other Renewables,289.0
07/19/2017 03:10:00,EDT,Wind,252.0
07/19/2017 03:10:00,EDT,Hydro,2793.0
07/19/2017 03:15:00,EDT,Dual Fuel,3230.0
07/19/2017 03:15:00,EDT,Natural Gas,2989.0
07/19/2017 03:15:00,EDT,Nuclear,5276.0
07/19/2017 03:15:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:15:00,EDT,Other Renewables,288.0
07/19/2017 03:15:00,EDT,Wind,246.0
07/19/2017 03:15:00,EDT,Hydro,2808.0
07/19/2017 03:20:00,EDT,Dual Fuel,3216.0
07/19/2017 03:20:00,EDT,Natural Gas,2983.0
07/19/2017 03:20:00,EDT,Nuclear,5277.0
07/19/2017 03:20:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:20:00,EDT,Other Renewables,288.0
07/19/2017 03:20:00,EDT,Wind,247.0
07/19/2017 03:20:00,EDT,Hydro,2805.0
07/19/2017 03:25:00,EDT,Dual Fuel,3216.0
07/19/2017 03:25:00,EDT,Natural Gas,2985.0
07/19/2017 03:25:00,EDT,Nuclear,5279.0
07/19/2017 03:25:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:25:00,EDT,Other Renewables,286.0
07/19/2017 03:25:00,EDT,Wind,250.0
07/19/2017 03:25:00,EDT,Hydro,2803.0
07/19/2017 03:30:00,EDT,Dual Fuel,3203.0
07/19/2017 03:30:00,EDT,Natural Gas,2985.0
07/19/2017 03:30:00,EDT,Nuclear,5275.0
07/19/2017 03:30:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:30:00,EDT,Other Renewables,285.0
07/19/2017 03:30:00,EDT,Wind,263.0
07/19/2017 03:30:00,EDT,Hydro,2796.0
07/19/2017 03:35:00,EDT,Dual Fuel,3216.0
07/19/2017 03:35:00,EDT,Natural Gas,3019.0
07/19/2017 03:35:00,EDT,Nuclear,5275.0
07/19/2017 03:35:00,EDT,Other Fossil Fuels,0.0
07/19/2017 03:35:00,EDT,Other Renewables,284.0
