"BA Code","Timestamp (Hour Ending)","AEC Interchange (MWh)","AECI Interchange (MWh)","GLHB Interchange (MWh)","IESO Interchange (MWh)","LGEE Interchange (MWh)","MHEB Interchange (MWh)","PJM Interchange (MWh)","SOCO Interchange (MWh)","SPA Interchange (MWh)","SWPP Interchange (MWh)","TVA Interchange (MWh)"
MISO,"2/5/2021 5 a.m. CST",-25,-490,-2,-1090,153,404,-3063,-392,-518,926,1566
MISO,"2/5/2021 6 a.m. CST",-33,-547,-37,-1147,73,84,-2835,-422,-529,1251,1471
MISO,"2/5/2021 7 a.m. CST",-45,-479,-72,-1072,55,-414,-2968,-599,-631,1451,1492
MISO,"2/5/2021 8 a.m. CST",-54,-494,-78,-859,100,-494,-2902,-731,-642,1619,1375
MISO,"2/5/2021 9 a.m. CST",-50,-454,-81,-826,207,-347,-3017,-825,-641,1781,1382
MISO,"2/5/2021 10 a.m. CST",-47,-572,-87,-844,127,-502,-2948,-831,-649,1705,1532
MISO,"2/5/2021 11 a.m. CST",-53,-699,-77,-870,77,-527,-3016,-712,-613,1602,1631
MISO,"2/5/2021 12 p.m. CST",-47,-665,-1,-841,52,-688,-2853,-658,-561,1740,1435
MISO,"2/5/2021 1 p.m. CST",-32,-797,7,-921,54,-645,-2744,-616,-584,1530,1267
MISO,"2/5/2021 2 p.m. CST",-35,-729,8,-785,40,-631,-2854,-624,-583,1378,1303
MISO,"2/5/2021 3 p.m. CST",-38,-532,7,-902,47,-424,-2918,-611,-558,1109,1302
MISO,"2/5/2021 4 p.m. CST",-47,-596,2,-921,26,-502,-2902,-635,-564,953,1132
MISO,"2/5/2021 5 p.m. CST",-45,-473,-66,-966,31,-695,-2923,-734,-527,1103,988
MISO,"2/5/2021 6 p.m. CST",-34,-343,-99,-1078,37,-616,-2898,-818,-483,1057,888
MISO,"2/5/2021 7 p.m. CST",-44,-231,-102,-991,191,-462,-2955,-870,-463,861,1018
MISO,"2/5/2021 8 p.m. CST",-42,-189,-98,-969,210,-454,-3128,-866,-467,587,1014
MISO,"2/5/2021 9 p.m. CST",-36,-96,-94,-932,235,-474,-3221,-810,-470,450,1080
MISO,"2/5/2021 10 p.m. CST",-31,-100,-87,-648,268,-350,-3397,-772,-473,296,1235
MISO,"2/5/2021 11 p.m. CST",-20,-259,-80,-486,221,-76,-3158,-641,-461,395,1476
MISO,"2/6/2021 12 a.m. CST",-21,-270,-2,-550,306,-15,-3290,-577,-471,151,1580
MISO,"2/6/2021 1 a.m. CST",-24,-277,49,-914,270,371,-3409,-560,-461,21,1448
MISO,"2/6/2021 2 a.m. CST",-24,-210,43,-940,207,440,-3516,-583,-441,37,1489
MISO,"2/6/2021 3 a.m. CST",-22,-199,41,-1011,214,61,-3126,-577,-441,44,1484
MISO,"2/6/2021 4 a.m. CST",-20,-133,-24,-973,232,57,-3311,-558,-420,270,1527
MISO,"2/6/2021 5 a.m. CST",-24,-6,-87,-971,214,298,-3199,-598,-397,372,1521
MISO,"2/6/2021 6 a.m. CST",-32,-47,-91,-1021,208,145,-2512,-698,-424,564,1317
MISO,"2/6/2021 7 a.m. CST",-60,-167,-91,-1140,160,-95,-2077,-614,-456,774,1151
MISO,"2/6/2021 8 a.m. CST",-55,-172,-97,-1240,115,-133,-1830,-621,-463,785,1007
MISO,"2/6/2021 9 a.m. CST",-37,-102,-96,-984,139,-99,-2106,-694,-464,834,871
MISO,"2/6/2021 10 a.m. CST",-35,-86,-91,-836,104,-90,-2482,-739,-483,529,1202
MISO,"2/6/2021 11 a.m. CST",-41,-7,-96,-844,52,-114,-2446,-826,-476,504,1294
MISO,"2/6/2021 12 p.m. CST",-34,-210,-98,-773,41,21,-2031,-779,-504,596,1500
MISO,"2/6/2021 1 p.m. CST",-38,-349,-121,-734,-15,-55,-1844,-813,-525,715,1373
MISO,"2/6/2021 2 p.m. CST",-30,-469,-158,-663,-61,-113,-1928,-797,-536,670,1340
MISO,"2/6/2021 3 p.m. CST",-25,-559,-160,-909,-8,-128,-1946,-730,-544,637,1544
