datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Oil,221.4,0.00,False
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Other,30.3,0.00,False
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Other Renewables,498.0,0.01,True
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Solar,837.5,0.01,True
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Storage,0.0,0.00,False
4/12/2020 12:00:00 PM,4/12/2020 8:00:00 AM,Wind,3991.9,0.06,True
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Coal,8607.0,0.13,False
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Gas,25726.0,0.38,False
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Hydro,1045.7,0.02,True
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Multiple Fuels,215.5,0.00,False
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Nuclear,27179.0,0.40,False
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Oil,221.6,0.00,False
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Other,30.0,0.00,False
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Other Renewables,493.9,0.01,True
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Solar,121.2,0.00,True
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Storage,0.0,0.00,False
4/12/2020 11:00:00 AM,4/12/2020 7:00:00 AM,Wind,4195.7,0.06,True
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Coal,8888.2,0.13,False
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Gas,25979.5,0.38,False
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Hydro,1047.3,0.02,True
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Multiple Fuels,125.3,0.00,False
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Nuclear,27151.7,0.40,False
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Oil,225.8,0.00,False
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Other,30.2,0.00,False
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Other Renewables,502.1,0.01,True
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Solar,0.0,0.00,True
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Storage,0.0,0.00,False
4/12/2020 10:00:00 AM,4/12/2020 6:00:00 AM,Wind,4108.2,0.06,True
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Coal,8410.1,0.13,False
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Gas,25538.9,0.38,False
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Hydro,776.0,0.01,True
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Multiple Fuels,11.0,0.00,False
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Nuclear,27162.2,0.41,False
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Oil,231.5,0.00,False
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Other,29.7,0.00,False
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Other Renewables,491.3,0.01,True
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Solar,0.0,0.00,True
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Storage,0.0,0.00,False
4/12/2020 9:00:00 AM,4/12/2020 5:00:00 AM,Wind,3815.3,0.06,True
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Coal,8092.1,0.12,False
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Gas,25548.4,0.39,False
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Hydro,688.1,0.01,True
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Multiple Fuels,3.1,0.00,False
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Nuclear,27185.2,0.41,False
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Oil,219.4,0.00,False
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Other,28.3,0.00,False
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Other Renewables,497.8,0.01,True
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Solar,0.0,0.00,True
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Storage,0.0,0.00,False
4/12/2020 8:00:00 AM,4/12/2020 4:00:00 AM,Wind,3705.6,0.06,True
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Coal,8287.7,0.13,False
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Gas,25505.7,0.39,False
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Hydro,726.6,0.01,True
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Multiple Fuels,3.3,0.00,False
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Nuclear,27155.4,0.41,False
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Oil,213.4,0.00,False
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Other,28.1,0.00,False
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Other Renewables,486.0,0.01,True
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Solar,0.0,0.00,True
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Storage,0.0,0.00,False
4/12/2020 7:00:00 AM,4/12/2020 3:00:00 AM,Wind,3210.7,0.05,True
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Coal,8619.4,0.13,False
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Gas,25391.1,0.38,False
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Hydro,752.3,0.01,True
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Multiple Fuels,3.7,0.00,False
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Nuclear,27184.1,0.41,False
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Oil,213.3,0.00,False
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Other,32.2,0.00,False
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Other Renewables,491.0,0.01,True
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Solar,0.0,0.00,True
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Storage,0.0,0.00,False
4/12/2020 6:00:00 AM,4/12/2020 2:00:00 AM,Wind,3495.0,0.05,True
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Coal,8459.8,0.13,False
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Gas,25157.9,0.38,False
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Hydro,868.6,0.01,True
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Multiple Fuels,3.7,0.00,False
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Nuclear,27157.7,0.41,False
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Oil,220.4,0.00,False
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Other,29.6,0.00,False
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Other Renewables,495.7,0.01,True
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Solar,0.0,0.00,True
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Storage,0.0,0.00,False
4/12/2020 5:00:00 AM,4/12/2020 1:00:00 AM,Wind,4126.0,0.06,True
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Coal,9224.8,0.14,False
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Gas,25862.9,0.38,False
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Hydro,947.9,0.01,True
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Multiple Fuels,132.5,0.00,False
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Nuclear,27155.8,0.40,False
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Oil,219.1,0.00,False
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Other,31.7,0.00,False
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Other Renewables,506.9,0.01,True
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Solar,0.0,0.00,True
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Storage,0.0,0.00,False
4/12/2020 4:00:00 AM,4/12/2020 12:00:00 AM,Wind,3910.3,0.06,True
4/12/2020 3:00:00 AM,4/11/2020 11:00:00 PM,Coal,10088.9,0.14,False
