date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-09-07,127387.0,67034.0,285569.0
2020-09-08,135371.0,62524.0,299255.0
2020-09-09,141081.0,62735.0,307637.0
2020-09-10,146441.0,61472.0,312389.0
2020-09-11,179748.0,67280.0,365299.0
2020-09-12,191700.0,77556.0,391713.0
2020-09-13,138313.0,66621.0,285343.0
2020-09-14,130980.0,61770.0,290093.0
2020-09-15,134008.0,57408.0,285024.0
2020-09-16,145208.0,61232.0,307385.0
2020-09-17,146743.0,59914.0,307318.0
2020-09-18,170383.0,61736.0,339647.0
2020-09-19,180119.0,75081.0,371926.0
2020-09-20,119499.0,62271.0,251704.0
2020-09-21,102976.0,52122.0,236463.0
2020-09-22,104954.0,48901.0,228963.0
2020-09-23,138439.0,62569.0,302895.0
2020-09-24,153134.0,61288.0,317979.0
2020-09-25,191356.0,69797.0,384266.0
2020-09-26,195809.0,75548.0,389736.0
2020-09-27,147576.0,65754.0,292948.0
2020-09-28,132270.0,60277.0,288552.0
2020-09-29,141356.0,58737.0,298368.0
2020-09-30,149292.0,61533.0,314669.0
2020-10-01,154911.0,62401.0,320619.0
2020-10-02,187029.0,67050.0,370912.0
2020-10-03,189732.0,73672.0,381912.0
2020-10-04,139124.0,60001.0,273753.0
2020-10-05,135508.0,60272.0,283556.0
2020-10-06,134142.0,56209.0,279264.0
2020-10-07,148351.0,61397.0,311125.0
2020-10-08,160827.0,62468.0,329409.0
2020-10-09,189260.0,70326.0,379961.0
2020-10-10,202401.0,76408.0,402680.0
2020-10-11,153867.0,67883.0,303872.0
2020-10-12,137357.0,63599.0,300768.0
2020-10-13,141876.0,58980.0,297230.0
2020-10-14,149207.0,59543.0,307761.0
2020-10-15,157160.0,61748.0,320319.0
2020-10-16,184924.0,68550.0,369103.0
2020-10-17,195574.0,74047.0,383496.0
2020-10-18,149896.0,66223.0,295145.0
2020-10-19,131104.0,60919.0,285820.0
2020-10-20,138967.0,58814.0,293099.0
2020-10-21,144518.0,58996.0,300992.0
