LMP,Load,temperature
40.24,51103.61,-1.70
35.64,48538.59,-2.10
30.25,46149.40,-1.80
26.31,44377.89,0.50
23.73,43515.06,3.50
24.28,43545.92,6.30
27.01,45030.95,8.70
37.93,47751.72,10.70
37.42,48585.89,12.00
36.93,48793.88,12.40
33.11,48517.62,12.30
26.50,47685.03,11.20
24.91,46636.21,6.70
29.16,45862.73,4.80
29.10,45320.31,4.00
28.35,45084.06,3.20
27.41,45120.96,2.50
27.06,45468.46,1.80
27.81,46294.23,1.30
28.74,47474.86,0.80
33.31,48637.08,0.50
36.40,49078.94,0.20
31.17,48150.94,0.20
34.66,46321.89,0.50
27.24,44206.07,0.80
23.56,42675.82,0.80
23.33,41238.65,1.80
22.88,40109.75,4.30
22.85,39644.79,6.90
22.90,39893.96,10.80
26.33,41302.72,12.80
29.69,43742.04,14.10
28.05,44127.97,14.90
26.07,43581.01,15.40
25.05,42897.99,15.30
22.88,41006.43,14.20
22.12,39268.49,11.30
20.00,38174.53,9.50
17.75,37640.33,8.20
15.71,37598.52,7.40
12.03,37976.61,6.90
18.94,39057.03,6.60
19.80,41301.12,6.80
22.46,44809.25,7.10
27.73,46729.36,7.40
28.20,46794.02,7.60
26.12,46871.92,7.80
28.75,46925.00,8.10
27.60,46820.63,8.30
27.26,46408.91,8.40
25.44,45951.20,8.70
24.08,45433.80,9.40
22.89,44967.49,9.70
24.09,45346.72,10.00
28.08,46621.84,10.40
48.04,48108.84,10.60
39.37,47824.35,10.60
37.59,47012.00,10.70
35.93,45566.25,10.70
37.04,43321.37,10.50
37.78,41319.25,10.10
39.56,39973.58,9.80
34.91,39353.41,9.50
30.60,39092.97,9.10
29.41,39317.09,8.60
26.33,40420.37,8.00
23.41,43027.95,7.40
25.93,47034.64,6.90
28.24,48968.28,6.70
26.81,48417.35,6.70
25.44,47500.99,6.80
25.70,46424.35,6.80
28.72,45193.15,6.90
26.43,43868.09,6.90
26.99,42946.71,7.20
26.06,42155.95,8.50
23.17,41833.77,10.70
22.76,42217.94,12.90
24.57,43655.05,14.70
33.35,45834.90,16.00
23.73,46349.74,16.90
