,0
984,Tarrant
985,Collin
986,Denton
987,Denton
988,Denton
989,Dallas
990,Kaufman
991,Ellis
992,Tarrant
993,Tarrant
994,Parker
995,Rockwall
996,Parker
997,Tarrant
998,Wise
999,Palo Pinto
1000,Dallas
1001,McLennan
1002,Tarrant
1003,Ellis
1004,Tarrant
1005,Tarrant
1006,Tarrant
1007,Tarrant
1008,Ellis
1009,Ellis
1010,McLennan
1011,Tarrant
1012,Dallas
1013,Dallas
1014,Collin
1015,Coryell
1016,Coryell
1017,Johnson
1018,Hunt
1019,Wise
1020,Eastland
1021,Tarrant
1022,Bell
1023,Bell
1024,Bell
1025,Bell
1026,Dallas
1027,Dallas
1028,Denton
1029,Denton
1030,Coryell
1031,Dallas
1032,Dallas
1033,Tarrant
1034,McLennan
1035,Erath
1036,Throckmorton
1037,Somervell
1038,Hill
1039,Johnson
1040,Navarro
1041,Bell
1042,Dallas
1043,Johnson
1044,Johnson
1045,Tarrant
1046,Dallas
1047,Tarrant
1048,Coleman
1049,Navarro
1050,Bexar
1051,Bexar
1052,Bastrop
1053,Bastrop
1054,Bastrop
1055,Bastrop
1056,Bastrop
1057,Bastrop
1058,Bastrop
1059,Bastrop
1060,Guadalupe
1061,Bastrop
1062,Bexar
1063,Gonzales
1064,Bexar
1065,Bexar
1066,Guadalupe
1067,Travis
1068,Travis
1069,Llano
1070,Travis
1071,Travis
1072,Travis
1073,Travis
1074,Bexar
1075,Bexar
1076,Bastrop
1077,Travis
1078,Karnes
1079,DeWitt
1080,DeWitt
1081,Travis
1082,Travis
1083,Travis
1084,Travis
1085,Bexar
1086,Bexar
1087,Travis
1088,Travis
1089,Travis
1090,Travis
1091,Travis
1092,Bexar
1093,Bexar
1094,Bexar
1095,Bexar
1096,Bexar
1097,Bexar
1098,Bexar
1099,Bexar
1100,Bexar
1101,Bexar
1102,Bexar
1103,Bexar
1104,Kendall
1105,Guadalupe
1106,Guadalupe
1107,Guadalupe
1108,Medina
1109,Bexar
1110,Travis
1111,Washington
1112,Washington
1113,Washington
1114,Burnet
1115,Guadalupe
1116,Guadalupe
1117,Guadalupe
1118,Guadalupe
1119,Guadalupe
1120,Guadalupe
1121,Guadalupe
1122,Guadalupe
1123,Guadalupe
1124,Fayette
1125,Fayette
1126,Fayette
1127,Fayette
1128,Fayette
1129,Fayette
1130,Burnet
1131,Burnet
1132,Burnet
1133,Williamson
1134,Williamson
1135,Williamson
1136,Williamson
1137,Williamson
1138,Williamson
1139,Williamson
1140,Hays
1141,Gonzales
1142,Bexar
1143,Bexar
1144,Williamson
1145,Gonzales
1146,Bexar
1147,Travis
1148,Bexar
1149,Bexar
1150,Fayette
1151,Fayette
1152,Fayette
1153,Fayette
1154,Fayette
1155,Fayette
1156,Milam
1157,Milam
1158,Milam
1159,Milam
1160,Milam
1161,Medina
1162,Travis
1163,Bexar
1164,Bexar
1165,Williamson
1166,Bastrop
1167,Williamson
1168,Williamson
1169,Williamson
1170,Bexar
1171,Lavaca
1172,Travis
1173,Comal
1174,Wilson
1175,Travis
1176,Milam
1177,Bexar
1178,Bandera
1179,Hays
1180,Comal
1181,Travis
1182,Fayette
1183,Williamson
1184,Fayette
1185,Williamson
1186,Travis
1187,Bandera
1188,Bastrop
1189,Williamson
1190,Bexar
1191,Bexar
1192,Bexar
1193,Bexar
1194,Bexar
1195,Bexar
1196,Bexar
1197,Bexar
1198,Bexar
1199,Bexar
1200,Fayette
1201,Bexar
1202,Bexar
1203,Hays
1204,Bexar
1205,Burnet
1206,Bexar
1207,Washington
1208,Guadalupe
1209,Travis
1210,Guadalupe
1211,Guadalupe
1212,Guadalupe
1213,Guadalupe
1214,Guadalupe
1215,Guadalupe
1216,Guadalupe
1217,Bexar
1218,Medina
1219,Medina
1220,Medina
1221,DeWitt
1222,DeWitt
1223,Bexar
1224,Travis
1225,Hays
1226,Bexar
1227,Bexar
1228,Bexar
1229,Wilson
1230,Travis
1231,Bexar
1232,Lee
1233,Travis
1234,Travis
1235,Travis
1236,Travis
1237,Colorado
1238,Colorado
1239,Lavaca
1240,Comal
1241,Burleson
1242,Burleson
1243,Travis
1244,Austin
1245,Caldwell
1246,Bexar
1247,Bexar
1248,Bexar
1249,Bexar
1250,Bexar
1251,Guadalupe
1252,Bexar
1253,Bexar
1254,Travis
1255,Lee
1256,Travis
1257,Travis
1258,Medina
1259,Burnet
1260,Burnet
1261,Burnet
1262,Burnet
1263,Burnet
1264,Burnet
1265,Burnet
1266,Travis
1267,Caldwell
1268,Travis
1269,Bexar
1270,Atascosa
1271,Travis
1272,Travis
1273,Travis
1274,Bexar
1275,Blanco
1276,Travis
1277,Hays
1278,Hays
1279,Hays
1280,Hays
1281,Travis
1282,Travis
1283,Bexar
1284,Bexar
1285,Bexar
1286,Bell
1287,Travis
1288,Bexar
1289,Bexar
1290,Bexar
1291,Bexar
1292,Bexar
1293,Bexar
1294,Bexar
1295,Bexar
1296,Bexar
1297,Bexar
1298,Bexar
1299,Bexar
1300,Comal
1301,Blanco
1302,Goliad
1303,Travis
1304,Travis
1305,Travis
1306,Travis
1307,Travis
1308,Travis
1309,Travis
1310,Bexar
1311,Williamson
1312,Karnes
1313,Karnes
1314,DeWitt
1315,DeWitt
1316,DeWitt
1317,DeWitt
1318,DeWitt
1319,DeWitt
1320,DeWitt
1321,DeWitt
1322,DeWitt
1323,DeWitt
1324,Bexar
1325,Bexar
1326,Caldwell
1327,Caldwell
1328,Guadalupe
1329,Guadalupe
1330,Bexar
1331,Travis
1332,Bexar
1333,Bexar
1334,Kendall
1335,Kendall
1336,Bexar
1337,Bexar
1338,Travis
1339,Williamson
1340,Bexar
1341,Bastrop
1342,Bastrop
1343,Bastrop
1344,Bastrop
1345,Bastrop
1346,Bastrop
1347,Comal
1348,Comal
1349,Comal
1350,Comal
1351,Comal
1352,Comal
1353,Comal
1354,Comal
1355,Travis
1356,Bexar
1357,Medina
1358,Medina
1359,Bexar
1360,Colorado
1361,Bexar
1362,Travis
1363,Comal
1364,Williamson
1365,Williamson
1366,Williamson
1367,Williamson
1368,Williamson
1369,Bexar
1370,Wilson
1371,Wilson
1372,Bexar
1373,Bexar
1374,Milam
1375,Burleson
1376,Colorado
1377,Kendall
1378,DeWitt
1379,Travis
1380,Williamson
1381,Bexar
1382,Bexar
1383,Bexar
1384,Bexar
1385,Bandera
1386,Bexar
1387,Milam
1388,Bastrop
1389,Gonzales
1390,Washington
1391,Williamson
1392,Williamson
1393,Williamson
1394,Travis
1395,Atascosa
1396,Travis
1397,Travis
1398,Travis
1399,Bexar
1400,Williamson
1401,Williamson
1402,Williamson
1403,Bexar
1404,Medina
1405,Williamson
1406,Burnet
1407,Burnet
1408,Victoria
1409,Harris
1410,Harris
1411,Harris
1412,Harris
1413,Harris
1414,Harris
1415,Harris
1416,Harris
1417,Waller
1418,Montgomery
1419,Fort Bend
1420,Harris
1421,Harris
1422,Harris
1423,Harris
1424,Harris
1425,Victoria
1426,Victoria
1427,Victoria
1428,Victoria
1429,Victoria
1430,Victoria
1431,Victoria
1432,Victoria
1433,Galveston
1434,Montgomery
1435,Harris
1436,Calhoun
1437,Calhoun
1438,Calhoun
1439,Calhoun
1440,Calhoun
1441,Calhoun
1442,Montgomery
1443,Montgomery
1444,Fort Bend
1445,Fort Bend
1446,Fort Bend
1447,Liberty
1448,Liberty
1449,Victoria
1450,Victoria
1451,Victoria
1452,Victoria
1453,Victoria
1454,Harris
1455,Harris
1456,Harris
1457,Montgomery
1458,Harris
1459,Fort Bend
1460,Fort Bend
1461,Harris
1462,Harris
1463,Montgomery
1464,Montgomery
1465,Calhoun
1466,Calhoun
1467,Calhoun
1468,Calhoun
1469,Calhoun
1470,Calhoun
1471,Calhoun
1472,Calhoun
1473,Calhoun
1474,Harris
1475,Wharton
