station,valid,tmpc,dwpc,relh,sped
RIC,2020-06-11 04:10,M,M,M,14.95
MDW,2020-06-11 04:10,M,M,M,8.05
PHL,2020-06-11 04:10,M,M,M,12.65
CMH,2020-06-11 04:10,M,M,M,17.25
RIC,2020-06-11 04:15,M,M,M,14.95
MDW,2020-06-11 04:15,M,M,M,5.75
PHL,2020-06-11 04:15,M,M,M,12.65
CMH,2020-06-11 04:15,M,M,M,14.95
RIC,2020-06-11 04:20,M,M,M,14.95
MDW,2020-06-11 04:20,M,M,M,8.05
PHL,2020-06-11 04:20,M,M,M,12.65
CMH,2020-06-11 04:20,M,M,M,14.95
RIC,2020-06-11 04:25,M,M,M,12.65
MDW,2020-06-11 04:25,M,M,M,8.05
PHL,2020-06-11 04:25,M,M,M,12.65
CMH,2020-06-11 04:25,M,M,M,18.40
RIC,2020-06-11 04:30,M,M,M,12.65
MDW,2020-06-11 04:30,M,M,M,8.05
PHL,2020-06-11 04:30,M,M,M,12.65
CMH,2020-06-11 04:30,M,M,M,18.40
RIC,2020-06-11 04:35,M,M,M,16.10
MDW,2020-06-11 04:35,M,M,M,8.05
PHL,2020-06-11 04:35,M,M,M,12.65
CMH,2020-06-11 04:35,M,M,M,17.25
RIC,2020-06-11 04:40,M,M,M,11.50
MDW,2020-06-11 04:40,M,M,M,9.20
PHL,2020-06-11 04:40,M,M,M,12.65
CMH,2020-06-11 04:40,M,M,M,16.10
RIC,2020-06-11 04:45,M,M,M,12.65
MDW,2020-06-11 04:45,M,M,M,9.20
PHL,2020-06-11 04:45,M,M,M,11.50
CMH,2020-06-11 04:45,M,M,M,10.35
RIC,2020-06-11 04:50,M,M,M,12.65
MDW,2020-06-11 04:50,M,M,M,9.20
PHL,2020-06-11 04:50,M,M,M,11.50
CMH,2020-06-11 04:50,M,M,M,12.65
CMH,2020-06-11 04:51,18.89,14.39,75.12,13.80
MDW,2020-06-11 04:53,15.61,12.22,80.25,10.35
RIC,2020-06-11 04:54,24.39,21.72,85.09,14.95
PHL,2020-06-11 04:54,25.00,20.61,76.62,11.50
RIC,2020-06-11 04:55,M,M,M,12.65
MDW,2020-06-11 04:55,M,M,M,10.35
PHL,2020-06-11 04:55,M,M,M,11.50
CMH,2020-06-11 04:55,M,M,M,14.95
RIC,2020-06-11 05:00,M,M,M,14.95
MDW,2020-06-11 05:00,M,M,M,9.20
PHL,2020-06-11 05:00,M,M,M,10.35
CMH,2020-06-11 05:00,M,M,M,12.65
RIC,2020-06-11 05:05,M,M,M,16.10
MDW,2020-06-11 05:05,M,M,M,9.20
PHL,2020-06-11 05:05,M,M,M,12.65
CMH,2020-06-11 05:05,M,M,M,10.35
RIC,2020-06-11 05:10,M,M,M,11.50
MDW,2020-06-11 05:10,M,M,M,9.20
PHL,2020-06-11 05:10,M,M,M,12.65
CMH,2020-06-11 05:10,M,M,M,10.35
RIC,2020-06-11 05:15,M,M,M,12.65
MDW,2020-06-11 05:15,M,M,M,10.35
PHL,2020-06-11 05:15,M,M,M,11.50
CMH,2020-06-11 05:15,M,M,M,11.50
RIC,2020-06-11 05:20,M,M,M,12.65
MDW,2020-06-11 05:20,M,M,M,9.20
PHL,2020-06-11 05:20,M,M,M,14.95
CMH,2020-06-11 05:20,M,M,M,14.95
RIC,2020-06-11 05:25,M,M,M,12.65
MDW,2020-06-11 05:25,M,M,M,8.05
PHL,2020-06-11 05:25,M,M,M,12.65
CMH,2020-06-11 05:25,M,M,M,12.65
RIC,2020-06-11 05:30,M,M,M,12.65
MDW,2020-06-11 05:30,M,M,M,9.20
PHL,2020-06-11 05:30,M,M,M,14.95
CMH,2020-06-11 05:30,M,M,M,12.65
RIC,2020-06-11 05:35,M,M,M,12.65
MDW,2020-06-11 05:35,M,M,M,10.35
PHL,2020-06-11 05:35,M,M,M,12.65
CMH,2020-06-11 05:35,M,M,M,11.50
RIC,2020-06-11 05:40,M,M,M,12.65
MDW,2020-06-11 05:40,M,M,M,9.20
PHL,2020-06-11 05:40,M,M,M,12.65
CMH,2020-06-11 05:40,M,M,M,11.50
RIC,2020-06-11 05:45,M,M,M,14.95
MDW,2020-06-11 05:45,M,M,M,10.35
PHL,2020-06-11 05:45,M,M,M,12.65
CMH,2020-06-11 05:45,M,M,M,11.50
RIC,2020-06-11 05:50,M,M,M,11.50
MDW,2020-06-11 05:50,M,M,M,9.20
