station,valid,tmpc,dwpc,relh,sped
BUR,2021-06-06 08:00,M,M,M,5.75
FAT,2021-06-06 08:00,M,M,M,4.60
SFO,2021-06-06 08:00,M,M,M,0.00
BUR,2021-06-06 08:05,M,M,M,5.75
FAT,2021-06-06 08:05,M,M,M,4.60
SFO,2021-06-06 08:05,M,M,M,0.00
BUR,2021-06-06 08:10,M,M,M,4.60
FAT,2021-06-06 08:10,M,M,M,4.60
SFO,2021-06-06 08:10,M,M,M,0.00
BUR,2021-06-06 08:15,M,M,M,5.75
FAT,2021-06-06 08:15,M,M,M,2.30
SFO,2021-06-06 08:15,M,M,M,0.00
BUR,2021-06-06 08:20,M,M,M,2.30
FAT,2021-06-06 08:20,M,M,M,2.30
SFO,2021-06-06 08:20,M,M,M,2.30
BUR,2021-06-06 08:25,M,M,M,5.75
FAT,2021-06-06 08:25,M,M,M,4.60
SFO,2021-06-06 08:25,M,M,M,0.00
BUR,2021-06-06 08:30,M,M,M,5.75
FAT,2021-06-06 08:30,M,M,M,2.30
SFO,2021-06-06 08:30,M,M,M,0.00
BUR,2021-06-06 08:35,M,M,M,5.75
FAT,2021-06-06 08:35,M,M,M,2.30
SFO,2021-06-06 08:35,M,M,M,2.30
BUR,2021-06-06 08:40,M,M,M,5.75
FAT,2021-06-06 08:40,M,M,M,2.30
SFO,2021-06-06 08:40,M,M,M,0.00
BUR,2021-06-06 08:45,M,M,M,5.75
FAT,2021-06-06 08:45,M,M,M,2.30
SFO,2021-06-06 08:45,M,M,M,2.30
BUR,2021-06-06 08:50,M,M,M,4.60
FAT,2021-06-06 08:50,M,M,M,2.30
SFO,2021-06-06 08:50,M,M,M,2.30
CQT,2021-06-06 08:52,18.89,11.11,60.60,3.45
BUR,2021-06-06 08:53,16.72,10.61,67.19,6.90
FAT,2021-06-06 08:53,25.00,10.00,38.74,3.45
BUR,2021-06-06 08:55,M,M,M,5.75
FAT,2021-06-06 08:55,M,M,M,0.00
SFO,2021-06-06 08:55,M,M,M,2.30
SFO,2021-06-06 08:56,16.72,8.89,59.86,4.60
BUR,2021-06-06 09:00,M,M,M,8.05
FAT,2021-06-06 09:00,M,M,M,2.30
SFO,2021-06-06 09:00,M,M,M,4.60
BUR,2021-06-06 09:05,M,M,M,5.75
FAT,2021-06-06 09:05,M,M,M,0.00
SFO,2021-06-06 09:05,M,M,M,5.75
BUR,2021-06-06 09:10,M,M,M,5.75
FAT,2021-06-06 09:10,M,M,M,2.30
SFO,2021-06-06 09:10,M,M,M,5.75
BUR,2021-06-06 09:15,M,M,M,5.75
FAT,2021-06-06 09:15,M,M,M,0.00
SFO,2021-06-06 09:15,M,M,M,4.60
BUR,2021-06-06 09:20,M,M,M,4.60
FAT,2021-06-06 09:20,M,M,M,0.00
SFO,2021-06-06 09:20,M,M,M,4.60
BUR,2021-06-06 09:25,M,M,M,5.75
FAT,2021-06-06 09:25,M,M,M,2.30
SFO,2021-06-06 09:25,M,M,M,2.30
BUR,2021-06-06 09:30,M,M,M,5.75
FAT,2021-06-06 09:30,M,M,M,0.00
SFO,2021-06-06 09:30,M,M,M,4.60
BUR,2021-06-06 09:35,M,M,M,0.00
FAT,2021-06-06 09:35,M,M,M,0.00
SFO,2021-06-06 09:35,M,M,M,4.60
BUR,2021-06-06 09:40,M,M,M,8.05
FAT,2021-06-06 09:40,M,M,M,2.30
SFO,2021-06-06 09:40,M,M,M,5.75
BUR,2021-06-06 09:45,M,M,M,5.75
FAT,2021-06-06 09:45,M,M,M,0.00
SFO,2021-06-06 09:45,M,M,M,5.75
BUR,2021-06-06 09:50,M,M,M,8.05
FAT,2021-06-06 09:50,M,M,M,0.00
SFO,2021-06-06 09:50,M,M,M,5.75
CQT,2021-06-06 09:52,19.39,10.61,56.82,5.75
BUR,2021-06-06 09:53,18.28,10.61,60.90,8.05
FAT,2021-06-06 09:53,27.22,10.00,33.97,3.45
BUR,2021-06-06 09:55,M,M,M,8.05
FAT,2021-06-06 09:55,M,M,M,4.60
SFO,2021-06-06 09:55,M,M,M,4.60
SFO,2021-06-06 09:56,18.28,9.39,56.12,4.60
BUR,2021-06-06 10:00,M,M,M,9.20
FAT,2021-06-06 10:00,M,M,M,2.30
SFO,2021-06-06 10:00,M,M,M,4.60
BUR,2021-06-06 10:05,M,M,M,5.75
FAT,2021-06-06 10:05,M,M,M,0.00
SFO,2021-06-06 10:05,M,M,M,4.60
BUR,2021-06-06 10:10,M,M,M,5.75
FAT,2021-06-06 10:10,M,M,M,5.75
SFO,2021-06-06 10:10,M,M,M,4.60
BUR,2021-06-06 10:15,M,M,M,10.35
FAT,2021-06-06 10:15,M,M,M,0.00
SFO,2021-06-06 10:15,M,M,M,4.60
BUR,2021-06-06 10:20,M,M,M,9.20
FAT,2021-06-06 10:20,M,M,M,2.30
SFO,2021-06-06 10:20,M,M,M,5.75
BUR,2021-06-06 10:25,M,M,M,4.60
FAT,2021-06-06 10:25,M,M,M,4.60
SFO,2021-06-06 10:25,M,M,M,4.60
BUR,2021-06-06 10:30,M,M,M,8.05
FAT,2021-06-06 10:30,M,M,M,0.00
SFO,2021-06-06 10:30,M,M,M,5.75
BUR,2021-06-06 10:35,M,M,M,9.20
FAT,2021-06-06 10:35,M,M,M,2.30
SFO,2021-06-06 10:35,M,M,M,5.75
BUR,2021-06-06 10:40,M,M,M,8.05
FAT,2021-06-06 10:40,M,M,M,4.60
SFO,2021-06-06 10:40,M,M,M,5.75
BUR,2021-06-06 10:45,M,M,M,8.05
FAT,2021-06-06 10:45,M,M,M,4.60
SFO,2021-06-06 10:45,M,M,M,5.75
BUR,2021-06-06 10:50,M,M,M,5.75
FAT,2021-06-06 10:50,M,M,M,8.05
SFO,2021-06-06 10:50,M,M,M,5.75
CQT,2021-06-06 10:52,22.22,11.11,49.33,3.45
BUR,2021-06-06 10:53,20.61,10.00,50.56,M
FAT,2021-06-06 10:53,28.89,10.00,30.82,5.75
BUR,2021-06-06 10:55,M,M,M,5.75
FAT,2021-06-06 10:55,M,M,M,2.30
SFO,2021-06-06 10:55,M,M,M,5.75
SFO,2021-06-06 10:56,19.39,10.00,54.54,6.90
BUR,2021-06-06 10:58,20.00,10.00,52.51,5.75
BUR,2021-06-06 11:00,M,M,M,5.75
FAT,2021-06-06 11:00,M,M,M,4.60
SFO,2021-06-06 11:00,M,M,M,5.75
BUR,2021-06-06 11:05,M,M,M,5.75
FAT,2021-06-06 11:05,M,M,M,0.00
SFO,2021-06-06 11:05,M,M,M,8.05
BUR,2021-06-06 11:10,M,M,M,5.75
FAT,2021-06-06 11:10,M,M,M,2.30
SFO,2021-06-06 11:10,M,M,M,11.50
BUR,2021-06-06 11:15,M,M,M,5.75
FAT,2021-06-06 11:15,M,M,M,2.30
SFO,2021-06-06 11:15,M,M,M,10.35
BUR,2021-06-06 11:20,M,M,M,5.75
FAT,2021-06-06 11:20,M,M,M,2.30
SFO,2021-06-06 11:20,M,M,M,5.75
BUR,2021-06-06 11:25,M,M,M,5.75
FAT,2021-06-06 11:25,M,M,M,5.75
SFO,2021-06-06 11:25,M,M,M,2.30
BUR,2021-06-06 11:30,M,M,M,5.75
FAT,2021-06-06 11:30,M,M,M,M
SFO,2021-06-06 11:30,M,M,M,5.75
BUR,2021-06-06 11:35,M,M,M,5.75
FAT,2021-06-06 11:35,M,M,M,2.30
SFO,2021-06-06 11:35,M,M,M,4.60
BUR,2021-06-06 11:40,M,M,M,5.75
FAT,2021-06-06 11:40,M,M,M,4.60
SFO,2021-06-06 11:40,M,M,M,5.75
BUR,2021-06-06 11:45,M,M,M,5.75
FAT,2021-06-06 11:45,M,M,M,0.00
SFO,2021-06-06 11:45,M,M,M,4.60
BUR,2021-06-06 11:50,M,M,M,5.75
FAT,2021-06-06 11:50,M,M,M,5.75
SFO,2021-06-06 11:50,M,M,M,5.75
CQT,2021-06-06 11:52,21.72,10.00,47.23,3.45
BUR,2021-06-06 11:53,21.72,9.39,45.33,5.75
FAT,2021-06-06 11:53,30.61,8.89,25.90,6.90
BUR,2021-06-06 11:55,M,M,M,14.95
FAT,2021-06-06 11:55,M,M,M,5.75
SFO,2021-06-06 11:55,M,M,M,4.60
SFO,2021-06-06 11:56,21.11,10.00,49.03,4.60
BUR,2021-06-06 12:00,M,M,M,12.65
FAT,2021-06-06 12:00,M,M,M,2.30
SFO,2021-06-06 12:00,M,M,M,4.60
BUR,2021-06-06 12:05,M,M,M,10.35
FAT,2021-06-06 12:05,M,M,M,0.00
SFO,2021-06-06 12:05,M,M,M,2.30
BUR,2021-06-06 12:10,M,M,M,9.20
FAT,2021-06-06 12:10,M,M,M,2.30
SFO,2021-06-06 12:10,M,M,M,9.20
BUR,2021-06-06 12:15,M,M,M,11.50
FAT,2021-06-06 12:15,M,M,M,0.00
SFO,2021-06-06 12:15,M,M,M,14.95
BUR,2021-06-06 12:20,M,M,M,10.35
FAT,2021-06-06 12:20,M,M,M,2.30
SFO,2021-06-06 12:20,M,M,M,20.70
BUR,2021-06-06 12:25,M,M,M,9.20
FAT,2021-06-06 12:25,M,M,M,4.60
SFO,2021-06-06 12:25,M,M,M,19.55
SFO,2021-06-06 12:26,22.22,8.89,42.51,20.70
BUR,2021-06-06 12:30,M,M,M,12.65
FAT,2021-06-06 12:30,M,M,M,5.75
SFO,2021-06-06 12:30,M,M,M,20.70
BUR,2021-06-06 12:35,M,M,M,12.65
FAT,2021-06-06 12:35,M,M,M,4.60
SFO,2021-06-06 12:35,M,M,M,21.85
BUR,2021-06-06 12:40,M,M,M,12.65
FAT,2021-06-06 12:40,M,M,M,4.60
SFO,2021-06-06 12:40,M,M,M,19.55
BUR,2021-06-06 12:45,M,M,M,12.65
FAT,2021-06-06 12:45,M,M,M,4.60
SFO,2021-06-06 12:45,M,M,M,19.55
BUR,2021-06-06 12:50,M,M,M,11.50
FAT,2021-06-06 12:50,M,M,M,4.60
SFO,2021-06-06 12:50,M,M,M,18.40
CQT,2021-06-06 12:52,22.78,10.61,46.13,3.45
BUR,2021-06-06 12:53,21.72,9.39,45.33,11.50
FAT,2021-06-06 12:53,32.22,8.28,22.67,3.45
BUR,2021-06-06 12:55,M,M,M,8.05
FAT,2021-06-06 12:55,M,M,M,5.75
SFO,2021-06-06 12:55,M,M,M,19.55
SFO,2021-06-06 12:56,21.72,8.28,42.05,18.40
BUR,2021-06-06 13:00,M,M,M,10.35
FAT,2021-06-06 13:00,M,M,M,0.00
SFO,2021-06-06 13:00,M,M,M,18.40
BUR,2021-06-06 13:05,M,M,M,11.50
FAT,2021-06-06 13:05,M,M,M,0.00
SFO,2021-06-06 13:05,M,M,M,18.40
BUR,2021-06-06 13:10,M,M,M,9.20
FAT,2021-06-06 13:10,M,M,M,2.30
