"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20201203.csv"
"C","Report for 12/03/2020"
"C","Report generated 12/10/2020 02:30:01 EST"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","12/03/2020","06:31:16","Hydro","Hydro",1544,"No"
"D","12/03/2020","06:31:16","Natural Gas","Natural Gas",4444,"Yes"
"D","12/03/2020","06:31:16","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","06:31:16","Other","Other",3,"No"
"D","12/03/2020","06:31:16","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:31:16","Refuse","Renewables",321,"No"
"D","12/03/2020","06:31:16","Solar","Renewables",1,"No"
"D","12/03/2020","06:31:16","Wind","Renewables",664,"No"
"D","12/03/2020","06:31:16","Wood","Renewables",306,"No"
"D","12/03/2020","06:37:26","Hydro","Hydro",1536,"No"
"D","12/03/2020","06:37:26","Natural Gas","Natural Gas",4603,"Yes"
"D","12/03/2020","06:37:26","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","06:37:26","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:37:26","Refuse","Renewables",321,"No"
"D","12/03/2020","06:37:26","Solar","Renewables",1,"No"
"D","12/03/2020","06:37:26","Wind","Renewables",627,"No"
"D","12/03/2020","06:37:26","Wood","Renewables",306,"No"
"D","12/03/2020","06:46:10","Hydro","Hydro",1578,"No"
"D","12/03/2020","06:46:10","Natural Gas","Natural Gas",4763,"Yes"
"D","12/03/2020","06:46:10","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","06:46:10","Other","Other",1,"No"
"D","12/03/2020","06:46:10","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:46:10","Refuse","Renewables",314,"No"
"D","12/03/2020","06:46:10","Solar","Renewables",1,"No"
"D","12/03/2020","06:46:10","Wind","Renewables",604,"No"
"D","12/03/2020","06:46:10","Wood","Renewables",306,"No"
"D","12/03/2020","06:52:07","Hydro","Hydro",1638,"Yes"
"D","12/03/2020","06:52:07","Natural Gas","Natural Gas",4853,"No"
"D","12/03/2020","06:52:07","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","06:52:07","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","06:52:07","Refuse","Renewables",312,"No"
"D","12/03/2020","06:52:07","Solar","Renewables",1,"No"
"D","12/03/2020","06:52:07","Wind","Renewables",583,"No"
"D","12/03/2020","06:52:07","Wood","Renewables",306,"No"
"D","12/03/2020","07:03:53","Hydro","Hydro",1894,"Yes"
"D","12/03/2020","07:03:53","Natural Gas","Natural Gas",4946,"No"
"D","12/03/2020","07:03:53","Nuclear","Nuclear",3348,"No"
"D","12/03/2020","07:03:53","Other","Other",16,"No"
