"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20200609.csv"
"C","Report for 06/09/2020"
"C","Report generated 06/15/2020 01:54:20 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/09/2020","03:50:14","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","03:50:14","Refuse","Renewables",318,"No"
"D","06/09/2020","03:50:14","Wind","Renewables",203,"No"
"D","06/09/2020","03:50:14","Wood","Renewables",253,"No"
"D","06/09/2020","04:05:08","Hydro","Hydro",340,"No"
"D","06/09/2020","04:05:08","Natural Gas","Natural Gas",3972,"Yes"
"D","06/09/2020","04:05:08","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","04:05:08","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","04:05:08","Refuse","Renewables",313,"No"
"D","06/09/2020","04:05:08","Wind","Renewables",199,"No"
"D","06/09/2020","04:05:08","Wood","Renewables",253,"No"
"D","06/09/2020","04:15:23","Hydro","Hydro",342,"No"
"D","06/09/2020","04:15:23","Natural Gas","Natural Gas",4009,"Yes"
"D","06/09/2020","04:15:23","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","04:15:23","Other","Other",2,"No"
"D","06/09/2020","04:15:23","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","04:15:23","Refuse","Renewables",318,"No"
"D","06/09/2020","04:15:23","Wind","Renewables",206,"No"
"D","06/09/2020","04:15:23","Wood","Renewables",255,"No"
"D","06/09/2020","04:28:27","Hydro","Hydro",340,"No"
"D","06/09/2020","04:28:27","Natural Gas","Natural Gas",4011,"Yes"
"D","06/09/2020","04:28:27","Nuclear","Nuclear",2062,"No"
"D","06/09/2020","04:28:27","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","04:28:27","Refuse","Renewables",319,"No"
"D","06/09/2020","04:28:27","Wind","Renewables",199,"No"
"D","06/09/2020","04:28:27","Wood","Renewables",253,"No"
"D","06/09/2020","04:35:27","Hydro","Hydro",340,"No"
"D","06/09/2020","04:35:27","Natural Gas","Natural Gas",4011,"Yes"
"D","06/09/2020","04:35:27","Nuclear","Nuclear",2062,"No"
"D","06/09/2020","04:35:27","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","04:35:27","Refuse","Renewables",319,"No"
"D","06/09/2020","04:35:27","Wind","Renewables",199,"No"
"D","06/09/2020","04:35:27","Wood","Renewables",253,"No"
"D","06/09/2020","04:37:12","Hydro","Hydro",343,"No"
"D","06/09/2020","04:37:12","Natural Gas","Natural Gas",3974,"Yes"
"D","06/09/2020","04:37:12","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","04:37:12","Other","Other",2,"No"
"D","06/09/2020","04:37:12","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","04:37:12","Refuse","Renewables",318,"No"
"D","06/09/2020","04:37:12","Wind","Renewables",210,"No"
"D","06/09/2020","04:37:12","Wood","Renewables",255,"No"
"D","06/09/2020","04:54:15","Hydro","Hydro",340,"No"
"D","06/09/2020","04:54:15","Natural Gas","Natural Gas",4161,"Yes"
"D","06/09/2020","04:54:15","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","04:54:15","Other","Other",7,"No"
"D","06/09/2020","04:54:15","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","04:54:15","Refuse","Renewables",306,"No"
"D","06/09/2020","04:54:15","Wind","Renewables",188,"No"
"D","06/09/2020","04:54:15","Wood","Renewables",252,"No"
"D","06/09/2020","05:05:52","Hydro","Hydro",343,"No"
"D","06/09/2020","05:05:52","Natural Gas","Natural Gas",4321,"Yes"
"D","06/09/2020","05:05:52","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","05:05:52","Other","Other",15,"No"
"D","06/09/2020","05:05:52","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","05:05:52","Refuse","Renewables",312,"No"
"D","06/09/2020","05:05:52","Wind","Renewables",202,"No"
"D","06/09/2020","05:05:52","Wood","Renewables",252,"No"
"D","06/09/2020","05:26:13","Hydro","Hydro",340,"No"
"D","06/09/2020","05:26:13","Natural Gas","Natural Gas",4239,"Yes"
"D","06/09/2020","05:26:13","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","05:26:13","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","05:26:13","Refuse","Renewables",317,"No"
"D","06/09/2020","05:26:13","Wind","Renewables",210,"No"
"D","06/09/2020","05:26:13","Wood","Renewables",253,"No"
"D","06/09/2020","05:39:05","Hydro","Hydro",348,"No"
"D","06/09/2020","05:39:05","Natural Gas","Natural Gas",4415,"Yes"
"D","06/09/2020","05:39:05","Nuclear","Nuclear",2067,"No"
"D","06/09/2020","05:39:05","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","05:39:05","Refuse","Renewables",319,"No"
"D","06/09/2020","05:39:05","Solar","Renewables",0,"No"
"D","06/09/2020","05:39:05","Wind","Renewables",184,"No"
"D","06/09/2020","05:39:05","Wood","Renewables",253,"No"
"D","06/09/2020","05:48:17","Hydro","Hydro",348,"Yes"
"D","06/09/2020","05:48:17","Natural Gas","Natural Gas",4504,"No"
"D","06/09/2020","05:48:17","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","05:48:17","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","05:48:17","Refuse","Renewables",316,"No"
"D","06/09/2020","05:48:17","Solar","Renewables",2,"No"
"D","06/09/2020","05:48:17","Wind","Renewables",173,"No"
"D","06/09/2020","05:48:17","Wood","Renewables",252,"No"
"D","06/09/2020","05:50:37","Hydro","Hydro",371,"No"
"D","06/09/2020","05:50:37","Natural Gas","Natural Gas",4542,"No"
"D","06/09/2020","05:50:37","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","05:50:37","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","05:50:37","Refuse","Renewables",313,"No"
"D","06/09/2020","05:50:37","Solar","Renewables",3,"No"
"D","06/09/2020","05:50:37","Wind","Renewables",169,"No"
"D","06/09/2020","05:50:37","Wood","Renewables",253,"Yes"
"D","06/09/2020","06:04:38","Hydro","Hydro",435,"No"
"D","06/09/2020","06:04:38","Natural Gas","Natural Gas",4709,"Yes"
"D","06/09/2020","06:04:38","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","06:04:38","Other","Other",15,"No"
"D","06/09/2020","06:04:38","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","06:04:38","Refuse","Renewables",318,"No"
"D","06/09/2020","06:04:38","Solar","Renewables",6,"No"
"D","06/09/2020","06:04:38","Wind","Renewables",176,"No"
"D","06/09/2020","06:04:38","Wood","Renewables",253,"No"
"D","06/09/2020","06:10:29","Hydro","Hydro",425,"No"
