Date,LMP,Node
1/18/2017 2:00:00 AM,14.24,.Z.MAINE
1/18/2017 2:00:00 AM,14.32,.Z.NEMASSBOST
1/18/2017 2:00:00 AM,14.38,.Z.NEWHAMPSHIRE
1/18/2017 2:00:00 AM,14.48,.Z.RHODEISLAND
1/18/2017 2:00:00 AM,14.38,.Z.SEMASS
1/18/2017 2:00:00 AM,14.48,.Z.VERMONT
1/18/2017 2:00:00 AM,14.52,.Z.WCMASS
1/18/2017 3:00:00 AM,14.36,.Z.CONNECTICUT
1/18/2017 3:00:00 AM,14.13,.Z.MAINE
1/18/2017 3:00:00 AM,14.17,.Z.NEMASSBOST
1/18/2017 3:00:00 AM,14.24,.Z.NEWHAMPSHIRE
1/18/2017 3:00:00 AM,14.32,.Z.RHODEISLAND
1/18/2017 3:00:00 AM,14.22,.Z.SEMASS
1/18/2017 3:00:00 AM,14.35,.Z.VERMONT
1/18/2017 3:00:00 AM,14.36,.Z.WCMASS
1/18/2017 4:00:00 AM,14.54,.Z.CONNECTICUT
1/18/2017 4:00:00 AM,14.29,.Z.MAINE
1/18/2017 4:00:00 AM,14.4,.Z.NEMASSBOST
1/18/2017 4:00:00 AM,14.45,.Z.NEWHAMPSHIRE
1/18/2017 4:00:00 AM,14.54,.Z.RHODEISLAND
1/18/2017 4:00:00 AM,14.45,.Z.SEMASS
1/18/2017 4:00:00 AM,14.53,.Z.VERMONT
1/18/2017 4:00:00 AM,14.57,.Z.WCMASS
1/18/2017 5:00:00 AM,26.98,.Z.CONNECTICUT
1/18/2017 5:00:00 AM,26.79,.Z.MAINE
1/18/2017 5:00:00 AM,26.86,.Z.NEMASSBOST
1/18/2017 5:00:00 AM,26.97,.Z.NEWHAMPSHIRE
1/18/2017 5:00:00 AM,27.1,.Z.RHODEISLAND
1/18/2017 5:00:00 AM,26.95,.Z.SEMASS
1/18/2017 5:00:00 AM,26.94,.Z.VERMONT
1/18/2017 5:00:00 AM,27.09,.Z.WCMASS
1/18/2017 6:00:00 AM,35.25,.Z.CONNECTICUT
1/18/2017 6:00:00 AM,35.55,.Z.MAINE
1/18/2017 6:00:00 AM,35.25,.Z.NEMASSBOST
1/18/2017 6:00:00 AM,35.59,.Z.NEWHAMPSHIRE
1/18/2017 6:00:00 AM,35.2,.Z.RHODEISLAND
1/18/2017 6:00:00 AM,35.04,.Z.SEMASS
1/18/2017 6:00:00 AM,35.17,.Z.VERMONT
1/18/2017 6:00:00 AM,35.47,.Z.WCMASS
1/18/2017 7:00:00 AM,34.6,.Z.CONNECTICUT
1/18/2017 7:00:00 AM,35,.Z.MAINE
1/18/2017 7:00:00 AM,34.76,.Z.NEMASSBOST
1/18/2017 7:00:00 AM,34.98,.Z.NEWHAMPSHIRE
1/18/2017 7:00:00 AM,34.47,.Z.RHODEISLAND
1/18/2017 7:00:00 AM,34.51,.Z.SEMASS
1/18/2017 7:00:00 AM,34.36,.Z.VERMONT
1/18/2017 7:00:00 AM,34.87,.Z.WCMASS
1/18/2017 8:00:00 AM,34.54,.Z.CONNECTICUT
1/18/2017 8:00:00 AM,34.77,.Z.MAINE
1/18/2017 8:00:00 AM,34.63,.Z.NEMASSBOST
1/18/2017 8:00:00 AM,34.79,.Z.NEWHAMPSHIRE
1/18/2017 8:00:00 AM,34.28,.Z.RHODEISLAND
1/18/2017 8:00:00 AM,34.37,.Z.SEMASS
1/18/2017 8:00:00 AM,34.39,.Z.VERMONT
1/18/2017 8:00:00 AM,34.72,.Z.WCMASS
1/18/2017 9:00:00 AM,34.55,.Z.CONNECTICUT
1/18/2017 9:00:00 AM,34.56,.Z.MAINE
1/18/2017 9:00:00 AM,34.6,.Z.NEMASSBOST
1/18/2017 9:00:00 AM,34.74,.Z.NEWHAMPSHIRE
1/18/2017 9:00:00 AM,34.32,.Z.RHODEISLAND
1/18/2017 9:00:00 AM,34.38,.Z.SEMASS
1/18/2017 9:00:00 AM,34.3,.Z.VERMONT
1/18/2017 9:00:00 AM,34.71,.Z.WCMASS
