"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/16/2021 9 p.m. CST",7639,491,991,736,175,1558,329,2595,554,2467,4902,1771,3654,596,4460,4414,1590
SWPP,"2/16/2021 10 p.m. CST",7438,477,972,733,171,1534,324,2536,534,2419,4770,1710,3607,587,4376,4384,1556
SWPP,"2/16/2021 11 p.m. CST",7219,461,944,726,163,1491,316,2453,504,2338,4619,1642,3550,573,4243,4257,1524
SWPP,"2/17/2021 12 a.m. CST",7076,446,922,713,152,1465,309,2396,482,2297,4543,1593,3510,575,4128,4180,1501
SWPP,"2/17/2021 1 a.m. CST",6940,436,917,701,148,1434,302,2349,470,2271,4458,1563,3497,578,4029,4058,1497
SWPP,"2/17/2021 2 a.m. CST",6895,431,909,695,145,1411,300,2315,463,2248,4414,1544,3469,570,3968,4037,1495
SWPP,"2/17/2021 3 a.m. CST",6891,426,914,700,141,1396,298,2302,460,2221,4403,1535,3475,562,3946,4012,1491
SWPP,"2/17/2021 4 a.m. CST",6894,425,913,700,141,1392,295,2298,459,2215,4389,1528,3492,562,3956,4047,1490
SWPP,"2/17/2021 5 a.m. CST",6941,435,930,692,144,1410,296,2330,466,2233,4405,1544,3514,566,4006,4101,1491
SWPP,"2/17/2021 6 a.m. CST",7054,450,941,699,147,1451,304,2392,486,2280,4450,1596,3555,568,4094,4179,1500
SWPP,"2/17/2021 7 a.m. CST",7206,470,972,707,152,1505,314,2485,520,2391,4555,1690,3631,581,4309,4355,1515
SWPP,"2/17/2021 8 a.m. CST",7316,483,996,716,159,1534,317,2540,542,2517,4626,1744,3702,580,4440,4450,1522
SWPP,"2/17/2021 9 a.m. CST",7430,494,996,722,164,1542,324,2562,547,2426,4649,1756,3700,578,4441,4442,1507
SWPP,"2/17/2021 10 a.m. CST",7462,501,1000,728,162,1517,329,2508,535,2345,4675,1753,3639,594,4408,4416,1490
SWPP,"2/17/2021 11 a.m. CST",7390,502,986,724,155,1458,318,2431,515,2283,4612,1735,3587,587,4320,4287,1457
SWPP,"2/17/2021 12 p.m. CST",7277,505,958,714,156,1419,316,2367,508,2231,4488,1711,3506,584,4229,4159,1402
SWPP,"2/17/2021 1 p.m. CST",7138,497,926,705,152,1354,311,2304,499,2186,4372,1692,3405,570,4126,4057,1351
SWPP,"2/17/2021 2 p.m. CST",6982,486,896,699,148,1309,311,2248,493,2173,4268,1671,3292,550,4037,4030,1313
SWPP,"2/17/2021 3 p.m. CST",6862,479,876,695,148,1299,309,2224,482,2186,4224,1643,3214,574,3961,4019,1297
SWPP,"2/17/2021 4 p.m. CST",6816,475,867,696,147,1316,301,2225,485,2191,4212,1612,3162,578,3938,4042,1297
SWPP,"2/17/2021 5 p.m. CST",6877,473,868,701,152,1339,298,2244,494,2220,4259,1624,3162,567,3961,4075,1329
SWPP,"2/17/2021 6 p.m. CST",7013,478,887,706,159,1382,304,2333,504,2253,4392,1663,3213,566,4043,4180,1385
SWPP,"2/17/2021 7 p.m. CST",7216,494,918,720,163,1421,316,2421,515,2315,4539,1710,3351,575,4178,4277,1438
SWPP,"2/17/2021 8 p.m. CST",7177,478,908,721,159,1414,313,2402,508,2246,4526,1691,3474,570,4163,4279,1448
SWPP,"2/17/2021 9 p.m. CST",7060,466,901,717,151,1396,307,2356,494,2188,4454,1652,3499,557,4104,4246,1437
SWPP,"2/17/2021 10 p.m. CST",6928,455,885,713,151,1367,301,2285,476,2135,4369,1597,3509,544,4018,4126,1416
SWPP,"2/17/2021 11 p.m. CST",6783,438,863,707,139,1320,294,2196,450,2118,4273,1524,3482,537,3914,3990,1401
SWPP,"2/18/2021 12 a.m. CST",6675,425,849,695,134,1287,286,2129,431,2072,4191,1463,3432,531,3831,3903,1387
SWPP,"2/18/2021 1 a.m. CST",6624,415,843,688,136,1278,282,2099,419,2028,4155,1427,3407,519,3768,3841,1391
SWPP,"2/18/2021 2 a.m. CST",6601,412,840,687,133,1284,280,2103,413,2049,4144,1407,3426,511,3723,3865,1403
SWPP,"2/18/2021 3 a.m. CST",6585,409,840,692,136,1288,279,2113,412,2059,4153,1401,3428,506,3672,3910,1405
SWPP,"2/18/2021 4 a.m. CST",6582,408,849,697,135,1310,282,2140,412,2070,4177,1398,3443,504,3696,3973,1415
SWPP,"2/18/2021 5 a.m. CST",6646,414,872,699,137,1346,287,2194,419,2104,4239,1418,3471,519,3780,4059,1439
SWPP,"2/18/2021 6 a.m. CST",6816,434,913,714,139,1409,297,2289,444,2189,4353,1476,3527,531,3921,4147,1471
SWPP,"2/18/2021 7 a.m. CST",7033,460,961,730,152,1487,314,2430,490,2317,4523,1582,3612,546,4179,4342,1525
SWPP,"2/18/2021 8 a.m. CST",7166,472,978,745,152,1531,320,2509,519,2406,4667,1656,3724,563,4344,4473,1542
SWPP,"2/18/2021 9 a.m. CST",7193,484,967,747,152,1503,321,2480,513,2362,4649,1654,3733,569,4324,4473,1514
SWPP,"2/18/2021 10 a.m. CST",7113,480,926,739,150,1431,310,2378,494,2277,4562,1622,3726,575,4245,4398,1458
SWPP,"2/18/2021 11 a.m. CST",6995,474,883,733,153,1349,304,2298,484,2210,4466,1595,3697,602,4165,4328,1404
SWPP,"2/18/2021 12 p.m. CST",6888,471,859,727,150,1316,297,2245,477,2163,4384,1578,3627,621,4075,4221,1362
SWPP,"2/18/2021 1 p.m. CST",6753,464,834,717,142,1263,291,2197,468,2122,4293,1556,3575,619,4000,4151,1311
SWPP,"2/18/2021 2 p.m. CST",6610,454,809,745,138,1237,285,2141,457,2032,4221,1540,3521,613,3945,4095,1266
SWPP,"2/18/2021 3 p.m. CST",6468,444,789,720,134,1215,282,2090,446,2004,4112,1523,3464,603,3892,4059,1230
SWPP,"2/18/2021 4 p.m. CST",6367,436,783,712,134,1206,278,2072,440,1952,4057,1515,3411,592,3856,4019,1212
SWPP,"2/18/2021 5 p.m. CST",6392,435,791,722,141,1229,278,2091,447,2010,4052,1527,3391,591,3895,4059,1236
SWPP,"2/18/2021 6 p.m. CST",6582,445,829,701,148,1273,283,2176,462,2077,4178,1572,3407,604,3984,4117,1295
SWPP,"2/18/2021 7 p.m. CST",6932,470,893,740,157,1363,300,2307,487,2194,4441,1650,3521,624,4170,4256,1388
SWPP,"2/18/2021 8 p.m. CST",6992,470,914,750,156,1390,302,2323,487,2175,4524,1656,3616,630,4232,4302,1435
SWPP,"2/18/2021 9 p.m. CST",6954,465,919,754,156,1393,301,2305,482,2195,4485,1630,3621,613,4223,4289,1442
SWPP,"2/18/2021 10 p.m. CST",6873,455,922,752,149,1387,296,2263,468,2159,4424,1585,3615,578,4123,4210,1436
SWPP,"2/18/2021 11 p.m. CST",6752,441,916,746,143,1345,290,2187,444,2110,4331,1513,3574,546,3973,4041,1424
SWPP,"2/19/2021 12 a.m. CST",6655,431,917,739,135,1323,284,2139,427,2082,4260,1456,3534,538,3885,3961,1419
