"BA Code","Timestamp (Hour Ending)","AEPW American Electric Power West Demand (MWh)","City of Springfield Demand (MWh)","Empire District Electric Company Demand (MWh)","Grand River Dam Authority Demand (MWh)","Independence Power & Light Demand (MWh)","KCP&L Greater Missouri Operations Demand (MWh)","Kansas City Board of Public Utilities Demand (MWh)","Kansas City Power & Light Demand (MWh)","Lincoln Electric System Demand (MWh)","Nebraska Public Power District Demand (MWh)","Oklahoma Gas and Electric Co. Demand (MWh)","Omaha Public Power District Demand (MWh)","Southwestern Public Service Company Demand (MWh)","Sunflower Electric Demand (MWh)","Westar Energy Demand (MWh)","Western Area Power Upper Great Plains East Demand (MWh)","Western Farmers Electric Cooperative Demand (MWh)"
SWPP,"2/5/2021 3 a.m. CST",4881,345,678,817,110,1080,260,1734,353,1848,3553,1313,3373,540,3312,3945,1105
SWPP,"2/5/2021 4 a.m. CST",4971,349,688,805,112,1092,261,1751,357,1878,3611,1323,3394,538,3302,3960,1120
SWPP,"2/5/2021 5 a.m. CST",5177,357,705,782,114,1107,264,1789,368,1899,3686,1353,3432,548,3378,4018,1139
SWPP,"2/5/2021 6 a.m. CST",5514,381,751,750,118,1160,274,1877,395,1976,3832,1419,3526,566,3547,4134,1181
SWPP,"2/5/2021 7 a.m. CST",6009,415,803,774,125,1242,294,2024,441,2123,4064,1534,3710,608,3834,4264,1245
SWPP,"2/5/2021 8 a.m. CST",6244,431,822,793,128,1278,300,2108,472,2217,4219,1613,3820,634,4024,4409,1275
SWPP,"2/5/2021 9 a.m. CST",6163,427,797,791,127,1254,302,2080,471,2211,4185,1606,3787,646,4017,4399,1246
SWPP,"2/5/2021 10 a.m. CST",6015,410,744,787,123,1200,299,2019,458,2144,4127,1601,3716,642,3949,4369,1183
SWPP,"2/5/2021 11 a.m. CST",5853,400,711,776,124,1177,301,2003,450,2117,4032,1606,3635,629,3849,4334,1115
SWPP,"2/5/2021 12 p.m. CST",5648,390,674,758,125,1158,296,1994,449,2046,3945,1592,3569,622,3746,4280,1058
SWPP,"2/5/2021 1 p.m. CST",5429,379,644,743,122,1142,291,1965,439,1973,3793,1564,3499,617,3657,4234,997
SWPP,"2/5/2021 2 p.m. CST",5207,369,606,729,121,1125,285,1906,438,1979,3671,1547,3447,614,3586,4196,949
SWPP,"2/5/2021 3 p.m. CST",4952,382,579,714,118,1102,278,1840,430,1933,3523,1523,3386,602,3504,4187,909
SWPP,"2/5/2021 4 p.m. CST",4800,352,569,702,116,1090,272,1795,424,1903,3406,1497,3338,590,3431,4195,888
SWPP,"2/5/2021 5 p.m. CST",4786,351,575,692,116,1098,268,1797,421,1926,3370,1507,3322,587,3411,4243,896
SWPP,"2/5/2021 6 p.m. CST",4920,365,602,692,125,1144,274,1870,433,1964,3435,1542,3325,581,3474,4287,930
SWPP,"2/5/2021 7 p.m. CST",5252,382,638,709,133,1202,289,1983,452,2051,3587,1605,3382,600,3645,4367,1005
SWPP,"2/5/2021 8 p.m. CST",5326,376,639,708,132,1208,290,1979,447,2080,3636,1593,3474,605,3662,4321,1045
SWPP,"2/5/2021 9 p.m. CST",5331,367,638,707,130,1201,288,1962,439,2082,3605,1566,3454,603,3648,4288,1061
